,Ctx,0.5K,2K,8K,0.5K,2K,8K,0.5K,2K,8K,0.5K,2K,8K,0.5K,2K,8K,0.5K,2K,8K,0.5K,2K,8K
Gemini-1.5-pro-001,2000K,89.2,79.4,54.0,81.3,75.3,70.0,-,100.0,45.0,92.0,71.0,28.0,97.0,96.0,81.0,94.0,84.0,46.0,81.6,50.0,-
GPT-4o-2024-08,128K,94.8,83.4,38.1,87.0,76.4,65.5,-,91.0,24.0,100.0,77.0,0.0,98.0,77.0,34.0,99.0,95.0,67.0,90.0,84.0,-
Llama-3.1-70B-Inst,128K,72.9,58.0,24.2,65.6,58.8,47.1,-,93.0,15.0,90.0,45.0,0.0,45.0,0.0,0.0,89.0,92.0,59.0,75.0,59.0,-
Claude-3-5-sonnet-2410,200K,78.4,57.5,22.0,82.1,66.9,52.1,-,91.0,23.0,100.0,1.0,0.0,77.0,35.0,1.0,68.0,78.0,34.0,65.0,73.0,-
Qwen2.5-72B-Inst,128K,68.7,46.4,20.0,82.5,62.3,45.6,-,85.0,2.0,79.0,2.0,0.0,62.0,1.0,0.0,37.0,61.0,50.0,83.0,67.0,-
Gemini-1.5-flash-001,1000K,78.9,52.3,15.3,68.4,65.4,52.4,-,90.0,2.0,74.0,23.0,0.0,81.0,35.0,0.0,89.0,79.0,22.0,82.3,21.4,-
GPT-4o-mini-24-07,128K,55.7,38.1,7.6,81.5,56.4,34.2,-,61.0,0.0,19.0,0.0,0.0,51.0,0.0,0.0,56.0,53.0,4.0,71.0,58.0,-
Llama-3.1-8B-Inst,128K,26.9,20.7,5.3,29.4,29.0,23.4,-,55.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,8.0,12.0,3.0,63.0,28.0,-
Llama-3-8B-ProLong-512k-Inst,128K,20.1,9.0,4.4,47.7,35.9,22.1,-,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,28.0,2.0,-
Qwen2.5-7B-Inst,128K,27.8,23.0,3.8,45.2,32.1,17.0,-,39.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,2.0,60.0,31.0,-
Phi-3-medium-128k-Inst,128K,25.4,12.2,2.5,42.9,29.3,12.3,-,30.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,57.0,13.0,-
Qwen2.5-3B-Inst,128K,27.3,5.7,1.3,36.6,15.4,6.4,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.0,0.0,50.0,9.0,-
Mistral-7B-Inst-v0.3,32K,18.6,12.4,1.2,43.2,18.4,6.0,-,40.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,38.0,13.0,-
AI21-Jamba-1.5-Mini,128K,19.0,9.0,1.1,36.2,14.1,5.5,-,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,47.0,16.0,-
Phi-3-small-128k-Inst,128K,19.6,11.5,1.1,26.9,13.2,4.3,-,30.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,54.0,17.0,-
Llama-3.2-3B-Inst,128K,13.5,4.5,0.1,7.6,4.1,0.3,-,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,0.0,10.0,6.0,-
Llama-3.2-1B-Inst,128K,4.0,0.1,0.0,4.1,0.5,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,-
